time,CSC_count,PC_count,mean_nutrient
1.448425648263821813e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.135535877042495420e+121
1.448482008508036415e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.134533061561698012e+121
1.448689175486745853e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.130850203411255191e+121
1.448867315894331114e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.127693637767552773e+121
1.449004455511232209e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.125270370225149946e+121
1.449114864294654353e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.123323630858659438e+121
1.449573195463743104e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.115270752333794528e+121
1.449663027852279811e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.113700893636180340e+121
1.449889395239650412e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.109750596810634438e+121
1.449904230026214918e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.109492635845748421e+121
1.449964006283044682e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.108453432722423279e+121
1.450092425311503121e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.106222974280560060e+121
1.450323712016717991e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.102213931908635705e+121
1.450439896951731953e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.100207321693645476e+121
1.450467626090928661e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.099729288315470348e+121
1.450523416670449478e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.098767910785441923e+121
1.450636339610765617e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.096823735363366986e+121
1.450726621210634903e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.095272122434243936e+121
1.450816658803028986e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.093726892152117830e+121
1.450889189862800549e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.092483866140497598e+121
1.451070198232311895e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.089385298425274946e+121
1.451169097401398403e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.087697107909588351e+121
1.451430932511031870e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.083234557264670313e+121
1.451638293051082883e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.079714936065589017e+121
1.451666666434980243e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.079234906986764500e+121
1.451870354340785752e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.075790388420128980e+121
1.451894726273164451e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.075379555792291072e+121
1.452024016243976575e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.073200973765654743e+121
1.452428881600374552e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.066403467003381028e+121
