time_h,CSC_count,PC_count,mean_nutrient
2.100000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.533314639835316129e-01
2.110000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.529769200774995452e-01
2.120000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.526292375197575657e-01
2.130000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.522861529645836098e-01
2.140000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.519474587839301449e-01
2.150000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.516137403428290620e-01
2.160000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.512855877157407658e-01
2.170000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.509644257498810260e-01
2.180000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.506481569259108477e-01
2.190000000000000000e+02,1.000000000000000000e+01,3.500000000000000000e+01,5.503373795700792215e-01
2.200000000000000000e+02,1.000000000000000000e+01,3.500000000000000000e+01,5.500249614838349510e-01
2.210000000000000000e+02,1.000000000000000000e+01,3.500000000000000000e+01,5.497185517218187156e-01
2.220000000000000000e+02,1.000000000000000000e+01,3.500000000000000000e+01,5.494175728882622067e-01
2.230000000000000000e+02,1.000000000000000000e+01,3.600000000000000000e+01,5.491213031014114954e-01
2.240000000000000000e+02,1.000000000000000000e+01,3.800000000000000000e+01,5.488229890012866763e-01
2.250000000000000000e+02,1.000000000000000000e+01,3.800000000000000000e+01,5.485197163160658862e-01
2.260000000000000000e+02,9.000000000000000000e+00,4.100000000000000000e+01,5.482226225741189118e-01
2.270000000000000000e+02,9.000000000000000000e+00,4.300000000000000000e+01,5.479234822173544295e-01
2.280000000000000000e+02,9.000000000000000000e+00,4.300000000000000000e+01,5.476126705358352886e-01
2.290000000000000000e+02,9.000000000000000000e+00,4.300000000000000000e+01,5.473077101481849116e-01
2.300000000000000000e+02,9.000000000000000000e+00,4.300000000000000000e+01,5.470090443428945459e-01
2.310000000000000000e+02,9.000000000000000000e+00,4.500000000000000000e+01,5.467193786250723608e-01
2.320000000000000000e+02,9.000000000000000000e+00,4.800000000000000000e+01,5.464213713003551742e-01
2.330000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.461121135414662708e-01
2.340000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.458003390329148052e-01
2.350000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.454920434440510002e-01
2.360000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.451898024432504375e-01
2.370000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.448995618865717372e-01
2.380000000000000000e+02,9.000000000000000000e+00,4.900000000000000000e+01,5.446121472622867943e-01
2.390000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+01,5.443293118468779390e-01
2.400000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+01,5.440451450944265854e-01
2.410000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+01,5.437586831260462494e-01
2.420000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+01,5.434761176218915191e-01
2.430000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+01,5.431977871675253144e-01
2.440000000000000000e+02,9.000000000000000000e+00,5.100000000000000000e+01,5.429250415429148768e-01
2.450000000000000000e+02,9.000000000000000000e+00,5.100000000000000000e+01,5.426534291494456985e-01
2.460000000000000000e+02,9.000000000000000000e+00,5.200000000000000000e+01,5.423890898743375377e-01
2.470000000000000000e+02,9.000000000000000000e+00,5.200000000000000000e+01,5.421184072842251123e-01
2.480000000000000000e+02,9.000000000000000000e+00,5.400000000000000000e+01,5.418530507856332834e-01
2.490000000000000000e+02,9.000000000000000000e+00,5.600000000000000000e+01,5.415814341569451518e-01
2.500000000000000000e+02,9.000000000000000000e+00,5.800000000000000000e+01,5.413059649427472975e-01
2.510000000000000000e+02,9.000000000000000000e+00,5.900000000000000000e+01,5.410192007120123714e-01
2.520000000000000000e+02,9.000000000000000000e+00,6.100000000000000000e+01,5.407380978690800033e-01
2.530000000000000000e+02,9.000000000000000000e+00,6.100000000000000000e+01,5.404469704342849123e-01
2.540000000000000000e+02,8.000000000000000000e+00,6.600000000000000000e+01,5.401657422608389103e-01
2.550000000000000000e+02,8.000000000000000000e+00,6.700000000000000000e+01,5.398675144927905789e-01
2.560000000000000000e+02,8.000000000000000000e+00,6.800000000000000000e+01,5.395773094258207170e-01
2.570000000000000000e+02,9.000000000000000000e+00,6.800000000000000000e+01,5.392814270094072882e-01
2.580000000000000000e+02,9.000000000000000000e+00,6.900000000000000000e+01,5.389887277470961635e-01
2.590000000000000000e+02,9.000000000000000000e+00,6.900000000000000000e+01,5.386968883007678954e-01
